game,method,sequence
frlg,re,up encounter loop left encounter right encounter down encounter end check 0.2 a 0.1 a 2.6 down right a 0.5 a 3
frlg,starter, reset a 1.3 a 1.3 a 0.5 a 1.9 b 2.7 b 2.5 b 0.5 b 0.5 b 0.5 b 1 x 0.5 a 1.2 a 0.5 a 3 summary
frlg,snorlax, reset a 1 a 8.2 a 1.2 a 4.1 check
frlg,eevee, reset a 2 b 0.2 x 0.2 down a 1.2 right a a 3 summary
frlg,abra, reset a 0.8 a 0.8 a 0.8 a 2.2 b a 0.8 a 0.8 a 0.8 a 2.2 b a 0.8 a 0.8 a 0.8 a 2.2 b a 0.8 a 0.8 a 0.8 a 2.2 b a 0.8 a 0.8 a 0.8 a 2.2 b 0.2 x 0.2 down a 1.2 right a a 1.8 summary 0.2 down 0.5 summary 0.2 down 0.5 summary 0.2 down 0.5 summary 0.2 down 0.5 summary
frlg,pinsir, reset a 0.8 a 0.8 down 0.1 down 0.1 a 0.8 a 2.2 b a 0.8 a 0.8 down 0.1 down 0.1 a 0.8 a 2.2 b 0.2 x 0.2 down a 1.2 right a a 1.8 summary 0.2 down 0.5 summary
frlg,safari, down encounter loop left encounter right encounter up encounter down encounter end check 0.2 a 0.8 down right a 0.5 a 3
frlg,fish, loop y 5 a 2 encounter end check 0.2 a 0.1 a battle down right a 0.5 a 3
rse,re,up encounter loop left encounter right encounter end check 1 a battle down right down a 1 a 2.8 
dppt,re,up encounter loop left encounter right encounter end check 12 down down right right right left a 7
